support,itemsets
0.010119585185185185,"frozenset({'笔记本电脑', '信用卡'})"
0.010192118518518518,"frozenset({'信用卡', '耳机'})"
0.010306251851851852,"frozenset({'信用卡', '裙子'})"
0.010149333333333333,"frozenset({'裤子', '信用卡'})"
0.010231822222222223,"frozenset({'零食', '信用卡'})"
0.010424296296296296,"frozenset({'饮料', '信用卡'})"
0.010099674074074074,"frozenset({'健身器材', '储蓄卡'})"
0.010080474074074074,"frozenset({'健身器材', '微信支付'})"
0.010147318518518519,"frozenset({'健身器材', '支付宝'})"
0.010077985185185186,"frozenset({'健身器材', '现金'})"
0.010109392592592593,"frozenset({'健身器材', '银联'})"
0.010036977777777777,"frozenset({'储蓄卡', '内衣'})"
0.01051757037037037,"frozenset({'储蓄卡', '卫浴用品'})"
0.010793481481481482,"frozenset({'储蓄卡', '围巾'})"
0.010808177777777778,"frozenset({'储蓄卡', '文具'})"
0.01038411851851852,"frozenset({'储蓄卡', '智能手机'})"
0.010093037037037038,"frozenset({'储蓄卡', '智能手表'})"
0.010860562962962964,"frozenset({'模型', '储蓄卡'})"
0.010518992592592593,"frozenset({'储蓄卡', '水果'})"
0.010148740740740741,"frozenset({'储蓄卡', '游戏机'})"
0.010171614814814815,"frozenset({'储蓄卡', '益智玩具'})"
0.010065066666666667,"frozenset({'储蓄卡', '笔记本电脑'})"
0.01012242962962963,"frozenset({'储蓄卡', '耳机'})"
0.010346074074074074,"frozenset({'储蓄卡', '裙子'})"
0.01016971851851852,"frozenset({'储蓄卡', '裤子'})"
0.010261333333333334,"frozenset({'储蓄卡', '零食'})"
0.010444088888888889,"frozenset({'储蓄卡', '饮料'})"
0.010020148148148148,"frozenset({'儿童课外读物', '支付宝'})"
0.010000948148148147,"frozenset({'儿童课外读物', '现金'})"
0.010023348148148148,"frozenset({'银联', '儿童课外读物'})"
0.010002962962962964,"frozenset({'内衣', '微信支付'})"
0.010051318518518518,"frozenset({'内衣', '现金'})"
0.010019792592592593,"frozenset({'银联', '内衣'})"
0.010574103703703704,"frozenset({'微信支付', '卫浴用品'})"
0.010567229629629629,"frozenset({'支付宝', '卫浴用品'})"
0.010622222222222222,"frozenset({'卫浴用品', '现金'})"
0.010577540740740741,"frozenset({'银联', '卫浴用品'})"
0.01077688888888889,"frozenset({'围巾', '微信支付'})"
0.010829274074074075,"frozenset({'围巾', '支付宝'})"
0.010816355555555556,"frozenset({'围巾', '现金'})"
0.01083282962962963,"frozenset({'银联', '围巾'})"
0.010001540740740741,"frozenset({'外套', '现金'})"
0.0107712,"frozenset({'微信支付', '文具'})"
0.010391111111111111,"frozenset({'智能手机', '微信支付'})"
0.010061274074074074,"frozenset({'智能手表', '微信支付'})"
0.010875733333333333,"frozenset({'模型', '微信支付'})"
0.010525274074074074,"frozenset({'微信支付', '水果'})"
0.010155140740740741,"frozenset({'游戏机', '微信支付'})"
0.01015111111111111,"frozenset({'益智玩具', '微信支付'})"
0.010062577777777778,"frozenset({'笔记本电脑', '微信支付'})"
0.010186666666666667,"frozenset({'微信支付', '耳机'})"
0.0103072,"frozenset({'微信支付', '裙子'})"
0.01012242962962963,"frozenset({'裤子', '微信支付'})"
0.010366222222222223,"frozenset({'零食', '微信支付'})"
0.010476444444444444,"frozenset({'饮料', '微信支付'})"
0.010789333333333333,"frozenset({'支付宝', '文具'})"
0.010423703703703704,"frozenset({'智能手机', '支付宝'})"
0.01004728888888889,"frozenset({'智能手表', '支付宝'})"
0.010879288888888889,"frozenset({'模型', '支付宝'})"
0.010509274074074074,"frozenset({'支付宝', '水果'})"
0.010155022222222223,"frozenset({'游戏机', '支付宝'})"
0.010146962962962964,"frozenset({'益智玩具', '支付宝'})"
0.010103703703703703,"frozenset({'笔记本电脑', '支付宝'})"
0.010212266666666667,"frozenset({'支付宝', '耳机'})"
0.010339318518518518,"frozenset({'支付宝', '裙子'})"
0.010160237037037037,"frozenset({'裤子', '支付宝'})"
0.010345837037037037,"frozenset({'零食', '支付宝'})"
0.010509155555555556,"frozenset({'饮料', '支付宝'})"
0.010787555555555555,"frozenset({'文具', '现金'})"
0.010792651851851852,"frozenset({'银联', '文具'})"
0.010449540740740742,"frozenset({'智能手机', '现金'})"
0.010418607407407408,"frozenset({'银联', '智能手机'})"
0.01005202962962963,"frozenset({'智能手表', '现金'})"
0.010071466666666667,"frozenset({'银联', '智能手表'})"
0.010800237037037037,"frozenset({'模型', '现金'})"
0.010883911111111111,"frozenset({'模型', '银联'})"
0.010586074074074074,"frozenset({'水果', '现金'})"
0.0104928,"frozenset({'银联', '水果'})"
0.010176711111111111,"frozenset({'游戏机', '现金'})"
0.010187614814814816,"frozenset({'银联', '游戏机'})"
0.01014245925925926,"frozenset({'益智玩具', '现金'})"
0.010128592592592592,"frozenset({'笔记本电脑', '现金'})"
0.010185362962962963,"frozenset({'耳机', '现金'})"
0.010353185185185186,"frozenset({'裙子', '现金'})"
0.010171496296296297,"frozenset({'裤子', '现金'})"
0.010267970370370371,"frozenset({'零食', '现金'})"
0.010444681481481482,"frozenset({'饮料', '现金'})"
0.010121481481481481,"frozenset({'银联', '益智玩具'})"
0.010058666666666667,"frozenset({'银联', '笔记本电脑'})"
0.010149451851851852,"frozenset({'银联', '耳机'})"
0.010331733333333334,"frozenset({'银联', '裙子'})"
0.010164977777777778,"frozenset({'银联', '裤子'})"
0.010282666666666667,"frozenset({'银联', '零食'})"
0.010450844444444444,"frozenset({'银联', '饮料'})"
